"StateFIPS","State","ZCTA","ZIP Code Tabulation Areas","Year","Value","Data Comment",
"36","New York","3610507","New York - 3610507 - ZCTA","2024","0.4502","",
"36","New York","3610509","New York - 3610509 - ZCTA","2024","0.3201","",
"36","New York","3610510","New York - 3610510 - ZCTA","2024","0.1409","",
"36","New York","3610511","New York - 3610511 - ZCTA","2024","0.0921","",
"36","New York","3610512","New York - 3610512 - ZCTA","2024","0.3060","",
"36","New York","3610514","New York - 3610514 - ZCTA","2024","0.0619","",
"36","New York","3610516","New York - 3610516 - ZCTA","2024","0.2871","",
"36","New York","3610517","New York - 3610517 - ZCTA","2024","0.0669","",
"36","New York","3610518","New York - 3610518 - ZCTA","2024","0.2152","",
"36","New York","3610519","New York - 3610519 - ZCTA","2024","0.0219","",
"36","New York","3610520","New York - 3610520 - ZCTA","2024","0.4640","",
"36","New York","3610522","New York - 3610522 - ZCTA","2024","0.1291","",
"36","New York","3610523","New York - 3610523 - ZCTA","2024","0.5689","",
"36","New York","3610524","New York - 3610524 - ZCTA","2024","0.1039","",
"36","New York","3610526","New York - 3610526 - ZCTA","2024","0.0380","",
"36","New York","3610527","New York - 3610527 - ZCTA","2024","0.0092","",
"36","New York","3610528","New York - 3610528 - ZCTA","2024","0.3846","",
"36","New York","3610530","New York - 3610530 - ZCTA","2024","0.2506","",
"36","New York","3610532","New York - 3610532 - ZCTA","2024","0.4495","",
"36","New York","3610533","New York - 3610533 - ZCTA","2024","0.0714","",
"36","New York","3610535","New York - 3610535 - ZCTA","2024","0.1822","",
"36","New York","3610536","New York - 3610536 - ZCTA","2024","0.0785","",
"36","New York","3610537","New York - 3610537 - ZCTA","2024","0.0240","",
"36","New York","3610538","New York - 3610538 - ZCTA","2024","0.2463","",
"36","New York","3610541","New York - 3610541 - ZCTA","2024","0.2523","",
"36","New York","3610543","New York - 3610543 - ZCTA","2024","0.4881","",
"36","New York","3610545","New York - 3610545 - ZCTA","2024","0.2823","",
"36","New York","3610546","New York - 3610546 - ZCTA","2024","0.0592","",
"36","New York","3610547","New York - 3610547 - ZCTA","2024","0.1558","",
"36","New York","3610548","New York - 3610548 - ZCTA","2024","0.4845","",
"36","New York","3610549","New York - 3610549 - ZCTA","2024","0.4557","",
"36","New York","3610550","New York - 3610550 - ZCTA","2024","0.8918","",
"36","New York","3610552","New York - 3610552 - ZCTA","2024","0.3672","",
"36","New York","3610553","New York - 3610553 - ZCTA","2024","0.6525","",
"36","New York","3610560","New York - 3610560 - ZCTA","2024","0.2565","",
"36","New York","3610562","New York - 3610562 - ZCTA","2024","0.5010","",
"36","New York","3610566","New York - 3610566 - ZCTA","2024","0.8537","",
"36","New York","3610567","New York - 3610567 - ZCTA","2024","0.0697","",
"36","New York","3610570","New York - 3610570 - ZCTA","2024","0.2018","",
"36","New York","3610573","New York - 3610573 - ZCTA","2024","0.6790","",
"36","New York","3610576","New York - 3610576 - ZCTA","2024","0.0694","",
"36","New York","3610577","New York - 3610577 - ZCTA","2024","0.2823","",
"36","New York","3610578","New York - 3610578 - ZCTA","2024","0.1220","",
"36","New York","3610579","New York - 3610579 - ZCTA","2024","0.1112","",
"36","New York","3610580","New York - 3610580 - ZCTA","2024","0.3951","",
"36","New York","3610583","New York - 3610583 - ZCTA","2024","0.1159","",
"36","New York","3610588","New York - 3610588 - ZCTA","2024","0.6569","",
"36","New York","3610589","New York - 3610589 - ZCTA","2024","0.3796","",
"36","New York","3610590","New York - 3610590 - ZCTA","2024","0.0894","",
"36","New York","3610591","New York - 3610591 - ZCTA","2024","0.6830","",
"36","New York","3610594","New York - 3610594 - ZCTA","2024","0.1067","",
"36","New York","3610595","New York - 3610595 - ZCTA","2024","0.5421","",
"36","New York","3610596","New York - 3610596 - ZCTA","2024","0.1989","",
"36","New York","3610597","New York - 3610597 - ZCTA","2024","0.0947","",
"36","New York","3610598","New York - 3610598 - ZCTA","2024","0.1765","",
"36","New York","3610601","New York - 3610601 - ZCTA","2024","0.7089","",
"36","New York","3610603","New York - 3610603 - ZCTA","2024","0.5071","",
"36","New York","3610604","New York - 3610604 - ZCTA","2024","0.2804","",
"36","New York","3610605","New York - 3610605 - ZCTA","2024","0.4840","",
"36","New York","3610606","New York - 3610606 - ZCTA","2024","0.5215","",
"36","New York","3610607","New York - 3610607 - ZCTA","2024","0.3634","",
