date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min
2024-02-28 04:00:00+00:00,56.149258,62.4605,49.7705,51.25198,58.45942,39.11774
2024-02-29 04:00:00+00:00,33.435497,43.650497,26.550499,22.11114,32.491352,15.627283
2024-03-01 04:00:00+00:00,33.0305,42.210503,23.6705,25.067873,35.003822,15.591684
2024-03-02 04:00:00+00:00,43.51175,49.8605,34.8305,38.478607,46.21631,28.823784
2024-03-03 04:00:00+00:00,52.440502,65.2505,42.210503,48.573956,61.396324,37.613007
2024-03-04 04:00:00+00:00,46.3355,57.4205,38.2505,41.401886,53.595093,33.45798
2024-03-05 04:00:00+00:00,43.316753,46.7105,38.7005,38.126865,44.09257,33.44623
2024-03-06 04:00:00+00:00,44.441753,49.2305,38.1605,40.21172,46.614693,33.695984
2024-03-07 04:00:00+00:00,49.057995,54.3605,42.1205,41.570446,45.762268,32.648308
2024-03-08 04:00:00+00:00,42.428005,53.9105,33.0305,35.308685,49.072304,25.659428
2024-03-09 04:00:00+00:00,41.070503,45.9005,38.3405,32.79159,39.104294,30.779911
2024-03-10 04:00:00+00:00,44.6555,51.1205,35.5505,35.956,46.966103,23.325565
2024-03-11 04:00:00+00:00,40.658,49.7705,33.3905,27.377462,35.06409,20.173248
2024-03-12 04:00:00+00:00,48.266754,63.180496,36.1805,40.49886,55.038467,27.265503
2024-03-13 04:00:00+00:00,47.30675,59.310497,36.0005,42.358643,53.982876,30.972338
2024-03-14 04:00:00+00:00,52.5305,69.8405,38.7905,48.524017,68.80101,33.17008
2024-03-15 04:00:00+00:00,58.478,70.5605,46.4405,53.203747,66.13422,42.288628
2024-03-16 04:00:00+00:00,48.364254,57.4205,40.2305,42.78058,50.126064,34.76777
2024-03-17 04:00:00+00:00,51.206757,60.0305,44.6405,43.494324,50.372932,37.729248
2024-03-18 04:00:00+00:00,43.639256,48.1505,35.9105,34.470245,38.476006,26.699772
2024-03-19 04:00:00+00:00,38.0255,45.0905,32.0405,28.062975,33.556168,23.01073
2024-03-20 04:00:00+00:00,42.233,53.100502,33.6605,34.151928,47.7137,22.53205
2024-03-21 04:00:00+00:00,33.008,41.5805,25.0205,21.977676,29.510984,14.702789
2024-03-22 04:00:00+00:00,33.19925,41.760498,22.230501,25.437975,35.97405,14.156967
2024-03-23 04:00:00+00:00,41.955505,49.5905,33.5705,34.8726,46.92592,19.97404
2024-03-24 04:00:00+00:00,36.319256,47.0705,27.2705,25.945404,38.261017,17.137619
2024-03-25 04:00:00+00:00,38.86925,49.9505,28.8905,30.275354,42.614403,19.497478
2024-03-26 04:00:00+00:00,41.677998,49.5005,31.7705,34.30779,43.47595,22.433231
2024-03-27 04:00:00+00:00,45.000504,51.2105,40.2305,41.088337,47.742424,35.305134
2024-03-28 04:00:00+00:00,46.860504,50.850502,43.2005,43.06381,46.21782,36.19121
2024-03-29 04:00:00+00:00,44.9555,54.3605,38.7005,33.66625,43.661217,27.063425
2024-03-30 04:00:00+00:00,46.19675,57.870502,35.9105,37.442646,48.401962,26.655912
2024-03-31 04:00:00+00:00,50.44925,60.840496,39.6905,44.049957,53.93471,32.834
2024-04-01 04:00:00+00:00,46.815506,54.2705,41.4905,42.792618,52.103855,35.963417
2024-04-02 04:00:00+00:00,44.7905,47.6105,42.7505,39.48656,44.72308,35.451355
